Date,Close,sp500_return,volume_change,gap,return_1d,sma_20,price_to_sma20,sma_5,return_5d,oil_price,price_to_sma5,volatility_5d,sentiment_5d_avg,volume_ratio,volatility_20d,sentiment_3d_avg,industrial_output,Sentiment_gpt,cpi,fed_rate,Scaled_sentiment,unemployment_rate,target
2013-01-11,33.849998474121094,-4.751398615232549e-05,-0.28525810922142536,-0.012058819041532628,0.002949807363423096,34.21500015258789,-0.010667884753441673,34.09199981689453,-0.023830082900387684,93.6,-0.007098478941487885,0.01188312304563495,0.7337648797807328,0.6554494661224981,0.01188312304563495,0.7380305702113894,98.1736,3.9048374180359593,231.679,0.14,0.7262343545089898,8.0,0.00709015330237861
2013-01-14,34.09000015258789,-0.0009306715612543,0.03515167761247384,0.0047267313035311365,-0.004411809584673687,34.16285705566406,-0.002132634953729448,33.98399963378906,-0.0157022659235605,94.27,0.003119130177174233,0.011060925984288504,0.7317683812804039,0.7068990371964209,0.010629512385404863,0.7195973021340065,98.1736,3.778800783071405,231.679,0.14,0.6947251957678513,8.0,0.014960349640669834
2013-01-15,34.599998474121094,0.0011286697641588,0.1256204196842441,-0.011146995201359281,0.00709015330237861,34.15374994277954,0.013065872183557821,33.90999984741211,-0.010737055766536052,93.26,0.020347939540366664,0.011851611700358413,0.7188092923144899,0.814181921359391,0.010677387437535659,0.7020630351490902,98.1736,3.7408182206817178,231.679,0.14,0.6852295551704295,8.0,0.02716770181678818
2013-01-16,35.540000915527344,0.0001969919103148,0.26629192803791346,-0.0037571462182346507,0.014960349640669834,34.203333112928604,0.03908004515774778,34.087999725341795,0.02640164383921273,94.28,0.04259567008580141,0.007008346274757011,0.7040436968004254,1.0278066172205085,0.011751770140065766,0.6853839244559863,98.1736,3.704688089718713,231.679,0.14,0.6761970224296783,8.0,0.024760754945098995
2013-01-17,36.41999816894531,0.0056429221840408,-0.12644207185984124,0.005908809202672478,0.02716770181678818,34.33699989318848,0.06066337426788547,34.41599960327149,0.04837756093894208,95.49,0.05822868981795696,0.012085123172103685,0.6899982278771718,0.9062646357985062,0.01440649336299325,0.6763438630363391,98.1736,3.67032004603564,231.679,0.14,0.6676050115089098,8.0,0.024711740008991123
2013-01-18,37.31999969482422,0.0034032703971196,0.23691143031445838,0.0002746330788944793,0.024760754945098995,34.526363372802734,0.0809131356192034,34.89999923706055,0.07117641673368569,95.61,0.06934098884431651,0.013007764328660474,0.6766377645564624,1.1097816475281272,0.015322200492668093,0.667744690614677,98.1736,3.637628151621773,231.679,0.14,0.6594320379054432,8.0,-0.024115796710569737
2013-01-22,36.41999816894531,0.0044281068463145,-0.11391532434341056,-0.009110400733337735,0.024711740008991123,34.759166399637856,0.0477811162158584,35.59399948120117,0.10251111896965082,96.09,0.023206121812200033,0.008484700863120654,0.663800014240943,0.9846207870887814,0.015752466296597507,0.6525244978682023,98.1736,3.522045776761016,231.679,0.14,0.6305364441902539,8.0,0.03789129976650951
2013-01-23,37.79999923706055,0.001507477027169,-0.30538846404422604,0.013454192836412953,-0.024115796710569737,34.88692268958459,0.08350053036766274,36.05999908447266,0.06834843079871744,95.06,0.04825291727023723,0.02154294853104496,0.6767591032068572,0.6997263308997582,0.017413527193563472,0.6799978273652324,98.1736,4.0,231.679,0.14,0.7500249999999999,8.0,-0.008994713212971184
2013-01-24,37.459999084472656,6.614683421224399e-06,0.03146171778247253,-0.0002645058660054255,0.03789129976650951,35.094999585832866,0.06738850339221808,36.699999237060545,0.09248557526188561,95.35,0.02070844313927518,0.024208322926606716,0.6890861699459571,0.7353827176524054,0.019157742552187888,0.7061312667718108,98.1736,3.951229424500714,231.679,0.14,0.7378323561251785,8.0,0.00373730360571356
2013-01-25,37.59999847412109,0.0054454816907181,-0.21121911168789897,0.001601745188399817,-0.008994713212971184,35.25266621907552,0.066585949569267,37.08399887084961,0.05402358242783478,95.15,0.01391434632140179,0.026140526066979187,0.6555701676441752,0.5956906337038649,0.018865265232709125,0.6626274520417261,98.1736,3.0,231.679,0.14,0.5000249999999999,8.0,-0.018882955140578472
