Date,Close,price_to_sma20,return_1d,return_5d,sp500_return,price_to_sma5,gap,volatility_5d,volatility_20d,sma_5,volume_change,oil_price,sentiment_5d_avg,volume_ratio,cpi,sentiment_3d_avg,sma_20,industrial_output,Sentiment_gpt,target
2010-01-06,41.34000015258789,-0.022637282202186214,-0.026530122347289575,-0.015069445991361397,0.0005455206301101,-0.02500001394523746,-0.006454708246348269,0.015711956054877168,0.011265658335820996,42.400000762939456,0.14217804667242873,83.12,0.5000249999999999,1.5834474495035946,217.488,0.5000249999999999,42.29750061035156,89.1897,3.0,0.003386535779673183
2010-01-07,41.47999954223633,-0.017818057058124063,-0.011714120416390195,-0.026148423802164866,0.0040012018741766,-0.016548937551024514,0.00145141202393681,0.016071952642061887,0.01151438393076671,42.17800064086914,-0.04734879195719155,82.6,0.5000249999999999,1.4586126421371468,217.488,0.5000249999999999,42.23250064849854,89.1897,3.0,-0.0091610673169924
2010-01-08,41.09999847412109,-0.026158709417903644,0.003386535779673183,-0.024000010770909963,0.0028817272914287,-0.020822463042769343,-0.01012531758872505,0.016318891369618057,0.011181107964554798,41.97400054931641,0.6749503546099291,82.74,0.5000249999999999,2.320605286430186,217.488,0.5000249999999999,42.20400066375733,89.1897,3.0,0.012895440721922835
2010-01-11,41.630001068115234,-0.013027643859336392,-0.0091610673169924,-0.027218971026719885,0.0017467554316374,-0.002730911636610323,0.009245768423921278,0.016441696660373893,0.011101536546953828,41.74400024414062,-0.22319704617052272,82.54,0.5000249999999999,1.7124231324977317,217.488,0.5000249999999999,42.179500579833984,89.1897,3.0,0.0019216433894999607
2010-01-12,41.709999084472656,-0.010626725036836546,0.012895440721922835,-0.03118455002375642,-0.0093811661483642,0.005641789701137875,-0.0038433784123694053,0.01507499420118505,0.011196325711196728,41.476000213623045,-0.3559654631083202,80.79,0.5000249999999999,1.0772743187255647,217.488,0.5000249999999999,42.1580005645752,89.1897,3.0,0.0
2010-01-13,41.709999084472656,-0.010004422962680098,0.0019216433894999607,-0.0028688200174292744,0.008325925658531,0.0062240524523639075,-0.0019179577586517537,0.010014639857291532,0.01115620173054824,41.45199966430664,0.5885300291150382,79.66,0.5000249999999999,1.6536562501101333,217.488,0.5000249999999999,42.13150043487549,89.1897,3.0,0.006473278918488035
2010-01-14,41.97999954223633,-0.002174889263024811,0.0,0.008950143457162163,0.0024264254383745,0.010932911851812447,0.00431551927899202,0.007890268251007401,0.010469116178927894,41.52599945068359,0.8722987084949492,79.35,0.5000249999999999,2.7776214490095956,217.488,0.5000249999999999,42.07150039672852,89.1897,3.0,-0.025488320783512264
2010-01-15,40.90999984741211,-0.026612905743790244,0.006473278918488035,0.012054002061665514,-0.0108231301598693,-0.017200778665261,-0.020009532199798178,0.00816072356126829,0.010614106746688206,41.625999450683594,-0.46296043345626736,77.96,0.5000249999999999,1.426045429128444,217.488,0.5000249999999999,42.028500366210935,89.1897,3.0,0.029577098239691013
2010-01-19,42.119998931884766,0.004531329008493501,-0.025488320783512264,-0.004622837804449387,0.0124996265993635,0.012792132587679963,0.018088528018256837,0.014645975310546873,0.011928942866550152,41.587999725341795,-0.2829164900381518,78.98,0.5000249999999999,1.012564272930247,217.488,0.5000249999999999,41.93000030517578,89.1897,3.0,-0.001424443497512362
2010-01-20,42.060001373291016,0.00289712696088507,0.029577098239691013,0.01177030629828213,-0.0105978296629707,0.00897188700025716,0.0,0.019614323452238513,0.012999076883970959,41.6859992980957,1.9350319224402934,77.42,0.5000249999999999,2.7070469149130485,217.488,0.5000249999999999,41.938500213623044,89.1897,3.0,-0.012601107386808086
