Date,Close,sp500_return,price_to_sma5,price_to_sma20,return_1d,return_5d,volatility_5d,volatility_20d,gap,volume_change,oil_price,volume_ratio,sma_5,sentiment_5d_avg,sma_20,industrial_output,sentiment_3d_avg,unemployment_rate,Sentiment_gpt,fed_rate,Scaled_sentiment,cpi,target
2010-02-25,61.400001525878906,-0.0020810401799135,0.009005486501599769,0.008458601235472762,0.005784205892033656,-0.003112180656566599,0.00491052385445135,0.00491052385445135,-0.009365752367857659,0.21518465029915412,77.99,1.2383798639374053,60.85199966430664,0.5000249999999999,60.88499959309896,89.5046,0.5000249999999999,9.8,3.0,0.13,0.5000249999999999,217.281,-0.007003262125238607
2010-02-26,60.970001220703125,0.0014053791778985,0.0004923050219906985,0.00018750313004353282,0.008872837826352065,0.007217887926745714,0.006408820743273094,0.005855702026649503,-0.0006514806927241548,0.04176570458404072,79.72,1.244956187626016,60.94000015258789,0.5000249999999999,60.95857129778181,89.5046,0.5000249999999999,9.8,3.0,0.13,0.5000249999999999,217.281,0.011153030860443502
2010-03-01,61.650001525878906,0.0101585082728945,0.0122155616974134,0.011318922035763632,-0.007003262125238607,-0.0027804738410595053,0.007310661551596984,0.006136001959983099,0.000492025236940434,0.09493155149934807,78.71,1.3102734679726098,60.90600051879883,0.5000249999999999,60.96000003814697,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,-0.0043795693605998
2010-03-02,61.380001068115234,0.0023304422719907,0.0049445041435101375,0.005625048280055068,0.011153030860443502,0.014147073489052975,0.00816246946266279,0.006949934955618047,0.007623639811404837,0.023566768375877567,79.62,1.2969080525162737,61.07800064086914,0.5000249999999999,61.03666687011719,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,-0.01140437847439335
2010-03-03,60.68000030517578,0.0004292016020615,-0.009338484847763902,-0.006402383830051152,-0.0043795693605998,0.01437783458460995,0.008111282663587214,0.006765956338433885,-0.026555898334155666,1.4607983325658611,80.91,2.661252275521583,61.252001190185545,0.5000249999999999,61.071000289916995,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,0.0019775697310688845
2010-03-04,60.79999923706055,0.0037361180334851,-0.006795639774185603,-0.0038576856734809234,-0.01140437847439335,-0.0029576126087840215,0.009998481183502137,0.007426236345149305,0.0011535875819408661,-0.6763579061407397,80.21,0.8713652785910793,61.21600112915039,0.5000249999999999,61.0354548367587,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,-0.0019736666676077874
2010-03-05,60.68000030517578,0.0140074809470649,-0.006808962315691545,-0.005504034152145295,0.0019775697310688845,-0.009772024005007096,0.008774067116815748,0.007087319425851448,0.0008223558830254525,0.06959617783999272,81.5,0.9369090800975204,61.09600067138672,0.5000249999999999,61.01583353678385,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,-0.0001648341493105665
2010-03-08,60.66999816894531,-0.0001755960133915,-0.006029069045382462,-0.005246795232361223,-0.0019736666676077874,-0.004756452513057674,0.008323984384819875,0.006773726865325094,-0.0023071751638817323,-0.1406623420962786,81.85,0.8164866759220463,61.03800048828125,0.5000249999999999,60.99000021127554,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,-0.008900562339335671
2010-03-09,60.130001068115234,0.0017127370855292,-0.01170242186190578,-0.013731033049819505,-0.0001648341493105665,-0.015896242216996814,0.005153298843078321,0.006485959280485087,-0.004779909503582558,0.055158257184478865,81.5,0.869550191262844,60.84199981689453,0.5000249999999999,60.96714292253767,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,-0.004822898891999494
2010-03-10,59.84000015258789,0.0045245599549417,-0.012410873821282293,-0.017588406820772364,-0.008900562339335671,-0.020364939365394186,0.005773707393747547,0.006627182475253464,0.001330417677305546,0.019265767179165394,82.07,0.8926459550949676,60.59199981689453,0.5000249999999999,60.91133346557617,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,0.0010026967436165268
2010-03-11,59.900001525878906,0.0040415193146134,-0.008672022083122446,-0.015521132488635198,-0.004822898891999494,-0.013843113849098643,0.004235516678287197,0.006459456813019783,-0.0010026967436164629,0.21819972909740182,82.1,1.0818576990558406,60.42399978637695,0.5000249999999999,60.844375133514404,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,0.004507456363749052
2010-03-12,60.16999816894531,-0.0002173459470393,-0.001228372533288195,-0.010179923508345234,0.0010026967436165268,-0.014802594119656676,0.0039764538778727454,0.006267252609520886,-0.00033389744998639064,-0.004675022743353852,81.26,1.072225162958818,60.24400024414062,0.5000249999999999,60.78882374482996,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,0.00631545753164664
2010-03-15,60.54999923706055,0.000452194832708,0.006783935043866014,-0.0033651086868845465,0.004507456363749052,-0.008404781372207237,0.005239070624073643,0.006222480207987398,-0.001661932477383796,-0.34376824840683473,79.79,0.714777667646207,60.14199981689453,0.5000249999999999,60.75444454616971,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,0.00594550974215724
2010-03-16,60.90999984741211,0.0077791163013856,0.013174087902000899,0.0027379896803568847,0.00631545753164664,-0.001977895755833181,0.0063829374853880474,0.006267579472342364,0.0026424417742053254,-0.04027546717220565,81.75,0.6969318534605675,60.11800003051758,0.5000249999999999,60.74368426674291,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,0.006895452055405427
2010-03-17,61.33000183105469,0.0058216758037441,0.01752002602150868,0.009514119450269878,0.00594550974215724,0.012971873697678715,0.004644505337891466,0.00626458546100842,0.0008208707467706749,0.2558655164073209,82.93,0.8697278697906852,60.273999786376955,0.5000249999999999,60.75200004577637,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,-0.0009783364014287477
2010-03-18,61.27000045776367,-0.0003258460273372,0.011523481712452667,0.008294116460391998,0.006895452055405427,0.024899760606072796,0.0023672744588194485,0.006295068220591471,-0.0053807569085639545,0.013128751645106407,82.16,0.8704417432552624,60.572000122070314,0.5000249999999999,60.76600017547607,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,-0.008976648163071088
2010-03-19,60.720001220703125,-0.0050864464494398,-0.002070780132362506,-0.001011804960234214,-0.0009783364014287477,0.02287143400643954,0.003206591468072813,0.006288903182560738,0.0017953420847024663,0.4851720423293835,80.58,1.2550721649760566,60.84599990844727,0.5000249999999999,60.781500244140624,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,0.0026350435473567746
2010-03-22,60.880001068115234,0.0050952961938879,-0.0012467919488936673,0.001966750302608626,-0.008976648163071088,0.009140818821591346,0.006844439768684525,0.006580280787391242,-0.0029644318438255936,-0.49461333333333335,81.26,0.6397377318340408,60.95600051879883,0.5000249999999999,60.76050033569336,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,-0.0019711357502731897
2010-03-23,60.7599983215332,0.0071709669083201,-0.0042935754265135155,-8.231748146612881e-05,0.0026350435473567746,0.005450071597238093,0.006428079415838591,0.0064839811526887425,-0.001971135750273179,0.24010130856901646,81.68,0.7948786631709105,61.02200088500977,0.5000249999999999,60.765000343322754,90.1356,0.5000249999999999,9.9,3.0,0.16,0.5000249999999999,217.353,-0.011356133077186858
