Date,Close,price_to_sma20,sp500_return,return_5d,sma_20,volume_ratio,gap,return_1d,oil_price,price_to_sma5,volatility_20d,sentiment_5d_avg,volume_change,sma_5,volatility_5d,sentiment_3d_avg,cpi,Sentiment_gpt,Scaled_sentiment,industrial_output,target
2014-11-17,114.25,-0.015637777522803632,0.0007353590216279,0.00471369524297649,116.06499862670898,0.43065963195882523,0.002953987591594869,0.0022640381793941344,75.64,-0.018183995852907406,0.03509362258457077,0.7297869047619047,-0.24376025997520856,116.36599884033203,0.03509362258457077,0.6666916666666666,236.983,3.0,0.5000249999999999,103.5978,-0.030109430559354333
2014-11-18,110.80999755859376,-0.04313876592019893,0.0051339833121772,-0.04112464509549041,115.8057131086077,0.8058380020127323,0.0007002348451174905,-0.007384869551603002,74.55,-0.0396581997352846,0.031594465937294834,0.6583583333333334,0.820670712798476,115.38599853515625,0.027663979748879432,0.5000249999999999,236.983,3.0,0.5000249999999999,103.5978,-0.017958649107606695
2014-11-19,108.81999969482422,-0.05522816468626007,-0.0015011590075549,-0.032565071827478365,115.18124866485596,0.9268438645723497,-0.008843928789195142,-0.030109430559354333,74.55,-0.05076760535063349,0.031000661910959855,0.6000249999999999,0.13973916005645037,114.63999786376954,0.025467314839347964,0.5000249999999999,236.983,3.0,0.5000249999999999,103.5978,0.009189487252383888
2014-11-20,109.81999969482422,-0.04065923709993459,0.0019670962134916,-0.07935700080876762,114.47444322374132,0.7426537543000403,-0.009281401755770203,-0.017958649107606695,75.63,-0.026107612001101954,0.02910255357327439,0.550025,-0.22100296748574966,112.76399841308594,0.013825714409821938,0.5833583333333333,236.983,4.0,0.7500249999999999,103.5978,0.008286320020380211
2014-11-21,110.7300033569336,-0.028760848234712512,0.0052368773596394,-0.04371296415141124,114.00899887084961,0.5816742314336792,0.030868688754951863,0.009189487252383888,76.52,-0.009216139369870143,0.027691968860204426,0.5800249999999999,-0.24821178985447667,111.75999908447265,0.015700397055477287,0.6333583333333334,236.983,3.6,0.6500250000000001,103.5978,0.028808766506841943
2014-11-24,113.91999816894533,0.0018387840037406514,0.0028640233144536,-0.03796694331121164,113.71090836958452,0.45930131888398185,0.011469309171540657,0.008286320020380211,75.74,0.027361417187383046,0.026411980423715425,0.530025,-0.24737532808398954,110.88600006103516,0.016943171914081716,0.550025,236.983,2.0,0.250025,103.5978,-0.003950113724324744
2014-11-25,113.47000122070312,-0.0022714770638509116,-0.0011500296768531,-0.0028884186525572897,113.72833251953125,0.5423829925122883,0.008953689333353264,0.028808766506841943,74.04,0.023912664980838046,0.02683810890669109,0.5050250000000001,0.13750847621815354,110.81999969482422,0.0235133446728464,0.42502500000000004,236.983,2.5,0.375025,103.5978,-0.007050348489921698
2014-11-26,112.66999816894533,-0.009132677587641023,0.0028059818899186,0.024005087272949366,113.70846088115985,0.28733006281818224,-0.001233800900170504,-0.003950113724324744,73.7,0.011836318491290765,0.02561224288346384,0.5050250000000001,-0.49777730466255055,111.3520004272461,0.017337353081003353,0.37502499999999994,236.983,3.0,0.5000249999999999,103.5978,-0.009141730682842741
2014-11-28,111.63999938964844,-0.017550034164138122,-0.0025424271805323,0.035379511899633176,113.63428497314453,0.20791632211852365,0.004171485118854425,-0.007050348489921698,65.94,-0.004298895238196903,0.024589144649631103,0.455025,-0.31513306824251575,112.12200012207032,0.014136582946036766,0.45835833333333326,236.983,3.0,0.5000249999999999,103.5978,-0.050609114625298046
2014-12-01,105.98999786376952,-0.06617838368077114,-0.0068293625274923,0.01657257056894701,113.50133260091145,0.9906555084144852,-0.014510952664267412,-0.009141730682842741,68.98,-0.057749428317665254,0.02372448165782719,0.42502499999999993,3.7617172992646513,112.48600006103516,0.01573221264461106,0.5000249999999999,236.252,3.0,0.5000249999999999,103.6151,0.03679593928185243
2014-12-02,109.88999938964844,-0.027796361097160525,0.0063844610974581,-0.042806875728928384,113.03187417984009,0.49896307490438147,0.012831405205796922,-0.050609114625298046,66.99,-0.014775229859641085,0.026132228926254376,0.5083583333333334,-0.5116237956333421,111.53799896240234,0.028232402543780365,0.5555805555555556,236.252,3.6666666666666665,0.6666916666666667,103.6151,0.006825006862914318
2014-12-03,110.63999938964844,-0.019557963360954025,0.0037647427417917,-0.03537569210034863,112.84705801571117,0.4449294646579658,0.004641024106498545,0.03679593928185243,67.3,-0.0008308331607282341,0.02730873592984447,0.5833583333333333,-0.1364865584242747,110.73199920654297,0.030957681907978558,0.6389138888888889,236.252,4.0,0.7500249999999999,103.6151,-0.01328634516280236
