Date,Close,sma_5,cpi,return_1d,oil_price,price_to_sma20,price_to_sma5,return_5d,sp500_return,gap,sma_20,volume_change,volatility_20d,volume_ratio,sentiment_3d_avg,volatility_5d,sentiment_5d_avg,target
2012-04-30,18.826923370361328,18.742307662963867,229.187,0.008154873750049862,104.89,0.005649730561160228,0.004514689915408207,0.021694143428625745,-0.0038835019016946,-0.005055581106014168,18.721153895060223,-0.12088019459314914,0.014995891459471028,0.7130311467033712,0.25408921462494044,0.014995891459471028,0.3524635287749643,0.01123594708800657
2012-05-01,19.038461685180664,18.840384674072265,228.713,-0.010111162212028346,106.17,0.016129035541930306,0.01051342711600727,0.026743600516225596,0.0056583842421709,0.0,18.736263820103236,0.06466765330416324,0.014661326448900194,0.7827064138687134,0.37908921462494044,0.01350802243781359,0.37746352877496425,-0.0015151823293113598
2012-05-02,19.009614944458008,18.890384674072266,228.713,0.01123594708800657,105.25,0.012547986974249793,0.006311690970983245,0.013306038790668273,-0.002496683664631,-0.004040419422184958,18.774038553237915,-0.038163577024933226,0.013834131129310126,0.7740942700545144,0.5416916666666666,0.009441994977270331,0.4274635287749643,-0.008093001032557723
2012-05-03,18.855770111083984,18.951922988891603,228.713,-0.0015151823293113598,102.56,0.00295509424145307,-0.0050735156460891715,0.016452402675561473,-0.0076588713308223,0.0015174815906024504,18.800213707817925,-0.28112932708785554,0.01292043626574971,0.5823002166872804,0.7042941187083928,0.008932971272778024,0.525025,-0.013768562635054105
2012-05-04,18.596153259277344,18.95,228.713,-0.008093001032557723,98.49,-0.011146371360120283,-0.01867265122546995,-0.0005096606525496483,-0.0161472089585192,-0.002549805004200952,18.80576934814453,0.4379099769161392,0.012609653503793268,0.8498659448746196,0.7380305702113894,0.00952306321024532,0.6178283421268336,-0.0010340788574875193
2012-05-07,18.576923370361328,18.865384674072267,228.713,-0.013768562635054105,97.86,-0.011166933029044325,-0.01529050738665229,-0.02224467720878809,0.0003505810220649,-0.009824159413481795,18.786713340065695,0.027357705942654187,0.012831209074405592,0.8824470038727654,0.654697236878056,0.009833843522960262,0.6678283421268336,-0.003623227838184917
2012-05-08,18.509614944458008,18.815384674072266,228.713,-0.0010340788574875193,97.13,-0.013831994518561463,-0.016251048538784934,-0.013278855768519615,-0.0042786734178289,-0.00465837712166074,18.769230842590332,0.12711331056184605,0.01217652083469308,0.9950297243052199,0.5754281181696632,0.009353690521065655,0.6428283421268336,-0.017662353935634534
2012-05-09,18.18269157409668,18.709615325927736,228.713,-0.003623227838184917,96.8,-0.030218195440229408,-0.028163259513991533,-0.02777780838954569,-0.0067022664805039,-0.01298703707577484,18.749260388887844,0.531281020922419,0.011653796194282515,1.4687321906348774,0.4722472222222222,0.005347458209656743,0.5761616754601669,0.009518862280756935
2012-05-10,18.355770111083984,18.544230651855468,228.713,-0.017662353935634534,97.1,-0.018869261685755707,-0.01016275866654123,-0.043500269351978926,0.0025174107770054,0.011105251911603177,18.708791187831334,-0.4273519323938746,0.012140086407085476,0.8500736543280245,0.44582418265275786,0.006907056396118384,0.5127463804934527,-0.004190691531644197
2012-05-11,18.278846740722656,18.44423065185547,228.713,0.009518862280756935,96.03,-0.021750287974897173,-0.008966701526050178,-0.02651708188286006,-0.0033873413051768,-0.008905193527236378,18.68525644938151,-0.256102406130435,0.012045685109623444,0.6472393754689089,0.5013797382083135,0.010783688064819035,0.500837842924988,-0.021567651496653628
