Date,Close,sp500_return,price_to_sma5,price_to_sma20,oil_price,gap,volume_change,return_1d,volatility_5d,volume_ratio,volatility_20d,return_5d,sma_5,sentiment_5d_avg,industrial_output,sma_20,sentiment_3d_avg,cpi,unemployment_rate,fed_rate,target
2010-02-24,23.780000686645508,0.0097204594242219,-0.018045154566595185,-0.012731776446599,79.75,0.005702227380455762,-0.05651996374754753,-0.011069393946757544,0.024227764581226535,0.7444808694090174,0.024227764581226535,0.010241082849903771,24.217000198364257,0.5000249999999999,89.5046,24.086666742960613,0.5000249999999999,217.281,9.8,0.13,-0.003153942841623847
2010-02-25,23.70499992370605,-0.0020810401799135,-0.016716453307555258,-0.01405229745921115,77.99,-0.011774629039550533,0.25661867162099394,0.004435119449575087,0.014600733240191231,0.9431291730130467,0.021687956654861857,-0.022404935630024103,24.108000183105467,0.5000249999999999,89.5046,24.042857306344168,0.5000249999999999,217.281,9.8,0.13,0.004218535405677182
2010-02-26,23.80500030517578,0.0014053791778985,-0.004141557312490919,-0.008150822207770459,79.72,0.0021092274719034685,-0.20207993817308179,-0.003153942841623847,0.009240734703193813,0.7738181015036913,0.01991874192644131,-0.04125380958651548,23.904000091552735,0.5000249999999999,89.5046,24.000625133514404,0.5000249999999999,217.281,9.8,0.13,-0.0021004471232167754
2010-03-01,23.7549991607666,0.0101585082728945,-0.0010933508436294147,-0.009336958035166324,78.71,0.007981538820493378,-0.014465289621628408,0.004218535405677182,0.010356598359422674,0.7811675957141426,0.01846088828544186,-0.025184265732872912,23.7810001373291,0.5000249999999999,90.1356,23.97888904147678,0.5000249999999999,217.353,9.9,0.16,0.0006315006325845474
2010-03-02,23.770000457763672,0.0023304422719907,0.0010950385462919273,-0.007784926647311999,79.62,-0.0056829436456543566,-0.16899542793658928,-0.0021004471232167754,0.0063755561613659025,0.6705408133200433,0.0173254516227924,-0.007727709655972137,23.743999862670897,0.5000249999999999,90.1356,23.95650005340576,0.5000249999999999,217.353,9.9,0.16,0.0006310218493723596
2010-03-03,23.78499984741211,0.0004292016020615,0.0009257981105794137,-0.006455665459909356,80.91,-0.004838021409486479,0.13439685314685312,0.0006315006325845474,0.00349910481320903,0.7761395310316118,0.016337705095477415,0.004012723284671171,23.763000106811525,0.5000249999999999,90.1356,23.939545544711027,0.5000249999999999,217.353,9.9,0.16,-0.010721007458587284
2010-03-04,23.530000686645508,0.0037361180334851,-0.00984679569602494,-0.016578408280768148,80.21,-0.004204346525594237,0.12751708273369067,0.0006310218493723596,0.0028697552373201946,0.883599210054792,0.015501726112576759,0.00021022542566240254,23.763999938964844,0.5000249999999999,90.1356,23.926666736602783,0.5000249999999999,217.353,9.9,0.16,0.011687191266694263
2010-03-05,23.80500030517578,0.0140074809470649,0.0032028409680061537,-0.003814574449615931,81.5,-0.0027624535554947242,-0.18883417085427134,-0.010721007458587284,0.005638453176875042,0.7315464745146024,0.015192613005133655,-0.007382376613531916,23.729000091552734,0.5000249999999999,90.1356,23.896153963529148,0.5000249999999999,217.353,9.9,0.16,-0.012602442367705136
2010-03-08,23.5049991607666,-0.0001755960133915,-0.009439965018411151,-0.016100861254401126,81.85,-0.00420081412256851,-0.09446048246211791,0.011687191266694263,0.008011491906776351,0.6776948958921232,0.014876442480163319,0.0,23.729000091552734,0.5000249999999999,90.1356,23.88964298793248,0.5000249999999999,217.353,9.9,0.16,0.00914699682043607
2010-03-09,23.71999931335449,0.0017127370855292,0.0017314591681758162,-0.006034225291985419,81.5,-0.004467115336535776,-0.005158236074814915,-0.012602442367705136,0.009869474350799245,0.6882129569979301,0.014768339860726601,-0.010524100561236649,23.679000091552734,0.5000249999999999,90.1356,23.86400006612142,0.5000249999999999,217.353,9.9,0.16,-0.0033726781628111713
