PERMNO,date,PERMCO,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR
22111,2010-04-26,21018,64.76000,9281400,-0.004305,2756261,1,1
22111,2010-04-27,21018,64.28000,11863000,-0.007412,2756261,1,1
22111,2010-04-28,21018,64.62000,12476900,0.005289,2756261,1,1
22111,2010-04-29,21018,65.01000,7930100,0.006035,2756261,1,1
22111,2010-04-30,21018,64.30000,14255900,-0.010921,2756261,1,1
22111,2010-05-03,21018,65.33000,15310400,0.016019,2756261,1,1
22111,2010-05-04,21018,64.70000,14900700,-0.009643,2756261,1,1
22111,2010-05-05,21018,65.14000,13143600,0.006801,2756261,1,1
22111,2010-05-06,21018,63.40000,24409700,-0.026712,2756261,1,1
22111,2010-05-07,21018,63.31000,20467800,-0.001420,2756261,1,1
22111,2010-05-10,21018,64.75000,18445300,0.022745,2756261,1,1
22111,2010-05-11,21018,64.67000,10880200,-0.001236,2756261,1,1
22111,2010-05-12,21018,64.90000,11036800,0.003557,2756261,1,1
22111,2010-05-13,21018,64.67000,12337100,-0.003544,2756261,1,1
22111,2010-05-14,21018,63.97000,12505000,-0.010824,2756261,1,1
22111,2010-05-17,21018,63.88000,10261000,-0.001407,2756261,1,1
22111,2010-05-18,21018,62.97000,18482700,-0.014245,2756261,1,1
22111,2010-05-19,21018,62.22000,18864900,-0.011910,2756261,1,1
22111,2010-05-20,21018,60.55000,24105900,-0.026840,2756261,1,1
22111,2010-05-21,21018,60.88000,21813000,0.005450,2756261,1,1
22111,2010-05-24,21018,60.57000,14045000,-0.005092,2756261,1,1
22111,2010-05-25,21018,60.35000,21178900,-0.003632,2756261,1,1
22111,2010-05-26,21018,59.66000,18914600,-0.011433,2756261,1,1
22111,2010-05-27,21018,59.03000,29931000,-0.001509,2756261,1,1
22111,2010-05-28,21018,58.30000,26819200,-0.012367,2758070,1,1
22111,2010-06-01,21018,58.76000,19511200,0.007890,2758070,1,1
22111,2010-06-02,21018,59.73000,15581800,0.016508,2758070,1,1
22111,2010-06-03,21018,59.77000,14254100,0.000670,2758070,1,1
22111,2010-06-04,21018,58.01000,21785400,-0.029446,2758070,1,1
22111,2010-06-07,21018,58.00000,13844100,-0.000172,2758070,1,1
22111,2010-06-08,21018,58.64000,14941500,0.011034,2758070,1,1
22111,2010-06-09,21018,58.17000,13173000,-0.008015,2758070,1,1
22111,2010-06-10,21018,58.50000,16995100,0.005673,2758070,1,1
22111,2010-06-11,21018,58.46000,14713000,-0.000684,2758070,1,1
22111,2010-06-14,21018,58.42000,10523900,-0.000684,2758070,1,1
22111,2010-06-15,21018,59.14000,11103400,0.012325,2758070,1,1
22111,2010-06-16,21018,59.24000,8637500,0.001691,2758070,1,1
22111,2010-06-17,21018,59.18000,11723100,-0.001013,2758070,1,1
22111,2010-06-18,21018,59.18000,16845400,0.000000,2758070,1,1
22111,2010-06-21,21018,59.13000,12143500,-0.000845,2758070,1,1
22111,2010-06-22,21018,59.16000,13824100,0.000507,2758070,1,1
22111,2010-06-23,21018,59.24000,12659600,0.001352,2758070,1,1
22111,2010-06-24,21018,59.60000,18216200,0.006077,2758070,1,1
22111,2010-06-25,21018,58.70000,45012800,-0.015101,2758070,1,1
22111,2010-06-28,21018,59.45000,15834200,0.012777,2758070,1,1
22111,2010-06-29,21018,59.24000,20239900,-0.003532,2758070,1,1
22111,2010-06-30,21018,59.06000,15802200,-0.003038,2758070,1,1
22111,2010-07-01,21018,59.07000,17973700,0.000169,2758070,1,1
22111,2010-07-02,21018,59.08000,10534800,0.000169,2758070,1,1
22111,2010-07-06,21018,59.08000,15461200,0.000000,2758070,1,1
22111,2010-07-07,21018,60.61000,17280200,0.025897,2758070,1,1
22111,2010-07-08,21018,61.38000,15900400,0.012704,2758070,1,1
22111,2010-07-09,21018,60.54000,12174100,-0.013685,2758070,1,1
22111,2010-07-12,21018,60.21000,10797100,-0.005451,2758070,1,1
22111,2010-07-13,21018,60.50000,10924400,0.004816,2758070,1,1
22111,2010-07-14,21018,60.62000,9668500,0.001983,2758070,1,1
22111,2010-07-15,21018,60.26000,12839200,-0.005939,2758070,1,1
22111,2010-07-16,21018,59.44000,17569800,-0.013608,2758070,1,1
22111,2010-07-19,21018,59.57000,10277500,0.002187,2758070,1,1
22111,2010-07-20,21018,58.58000,22305300,-0.016619,2758070,1,1
22111,2010-07-21,21018,57.12000,25707600,-0.024923,2758070,1,1
22111,2010-07-22,21018,57.02000,17973200,-0.001751,2758070,1,1
22111,2010-07-23,21018,57.63000,15076600,0.010698,2758070,1,1
22111,2010-07-26,21018,57.74000,11777300,0.001909,2758070,1,1
22111,2010-07-27,21018,58.10000,16963900,0.006235,2758070,1,1
22111,2010-07-28,21018,57.83000,13503700,-0.004647,2758070,1,1
22111,2010-07-29,21018,57.83000,13036700,0.000000,2758070,1,1
22111,2010-07-30,21018,58.09000,12984900,0.004496,2758070,1,1
22111,2010-08-02,21018,58.72000,11455600,0.010845,2758070,1,1
22111,2010-08-03,21018,59.35000,10855100,0.010729,2758070,1,1
22111,2010-08-04,21018,59.74000,10508800,0.006571,2758070,1,1
22111,2010-08-05,21018,59.76000,9796700,0.000335,2758070,1,1
22111,2010-08-06,21018,59.96000,8524000,0.003347,2758070,1,1
22111,2010-08-09,21018,60.05000,6678300,0.001501,2758070,1,1
22111,2010-08-10,21018,59.43000,13550700,-0.010325,2758070,1,1
22111,2010-08-11,21018,58.50000,11470300,-0.015649,2758070,1,1
22111,2010-08-12,21018,58.52000,8240900,0.000342,2758070,1,1
22111,2010-08-13,21018,58.15000,8549900,-0.006323,2758070,1,1
22111,2010-08-16,21018,58.01000,8751200,-0.002408,2758070,1,1
22111,2010-08-17,21018,59.22000,13479000,0.020859,2758070,1,1
22111,2010-08-18,21018,59.35000,10535000,0.002195,2758070,1,1
22111,2010-08-19,21018,58.72000,11949600,-0.010615,2758070,1,1
22111,2010-08-20,21018,58.74000,11286100,0.000341,2758070,1,1
22111,2010-08-23,21018,58.87000,8843900,0.002213,2758070,1,1
