PERMNO,date,PERMCO,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR
86755,2013-04-29,35013,70.21000,30620056,0.009199,464600,1,1
86755,2013-04-30,35013,70.72000,30113225,0.007264,465400,1,1
86755,2013-05-01,35013,70.39000,29738062,-0.004666,464700,1,1
86755,2013-05-02,35013,71.28000,31653079,0.012644,464750,1,1
86755,2013-05-03,35013,72.12000,34016251,0.011785,465050,1,1
86755,2013-05-06,35013,72.40000,19237850,0.003882,472650,1,1
86755,2013-05-07,35013,72.36000,25772960,-0.000552,474750,1,1
86755,2013-05-08,35013,72.71000,24169570,0.004837,474950,1,1
86755,2013-05-09,35013,72.60650,29186826,-0.001423,477100,1,1
86755,2013-05-10,35013,73.05000,20524358,0.006108,476750,1,1
86755,2013-05-13,35013,73.14000,29706214,0.001232,477750,1,1
86755,2013-05-14,35013,73.52000,35738196,0.005195,472250,1,1
86755,2013-05-15,35013,73.67000,27115339,0.002040,470850,1,1
86755,2013-05-16,35013,73.59000,27135407,-0.001086,474150,1,1
86755,2013-05-17,35013,74.30000,31053992,0.009648,477400,1,1
86755,2013-05-20,35013,74.19000,25048522,-0.001480,469950,1,1
86755,2013-05-21,35013,74.27000,25611334,0.001078,473050,1,1
86755,2013-05-22,35013,73.61900,59805020,-0.008765,476150,1,1
86755,2013-05-23,35013,73.45000,48147195,-0.002296,473550,1,1
86755,2013-05-24,35013,73.41000,26346603,-0.000544,476950,1,1
86755,2013-05-28,35013,73.89000,27067918,0.006539,477100,1,1
86755,2013-05-29,35013,73.54000,31960030,-0.004737,475700,1,1
86755,2013-05-30,35013,73.93000,32381431,0.005303,475100,1,1
86755,2013-05-31,35013,73.25000,38298651,-0.009198,475100,1,1
86755,2013-06-03,35013,73.38000,47432284,0.001775,476000,1,1
86755,2013-06-04,35013,73.00000,35210942,-0.005178,484000,1,1
86755,2013-06-05,35013,72.05000,49033179,-0.013014,484000,1,1
86755,2013-06-06,35013,72.40000,62382488,0.004858,489550,1,1
86755,2013-06-07,35013,73.39000,32090302,0.013674,471050,1,1
86755,2013-06-10,35013,73.42000,25446539,0.000409,470100,1,1
86755,2013-06-11,35013,72.69000,40234089,-0.009943,472750,1,1
86755,2013-06-12,35013,71.85000,42014973,-0.011556,475000,1,1
86755,2013-06-13,35013,72.76000,28256742,0.012665,481000,1,1
86755,2013-06-14,35013,72.28000,27638300,-0.006597,467500,1,1
86755,2013-06-17,35013,72.98000,32286575,0.009685,465400,1,1
86755,2013-06-18,35013,73.58000,24836339,0.008221,467800,1,1
86755,2013-06-19,35013,72.76000,43091387,-0.011144,472900,1,1
86755,2013-06-20,35013,71.02500,60682717,-0.023846,471950,1,1
86755,2013-06-21,35013,70.43000,51389570,-0.005229,473000,1,1
86755,2013-06-24,35013,69.73000,41530966,-0.009939,470550,1,1
86755,2013-06-25,35013,70.24000,28865520,0.007314,464000,1,1
86755,2013-06-26,35013,70.87000,23625502,0.008969,474450,1,1
86755,2013-06-27,35013,71.17000,23469280,0.004233,472050,1,1
86755,2013-06-28,35013,71.27000,28239940,0.001405,472200,1,1
86755,2013-07-01,35013,71.71000,24884748,0.006174,473600,1,1
86755,2013-07-02,35013,71.74000,22989328,0.000418,475750,1,1
86755,2013-07-03,35013,72.03100,18807705,0.004056,476050,1,1
86755,2013-07-05,35013,72.58000,28724375,0.007622,475350,1,1
86755,2013-07-08,35013,72.65000,20522839,0.000964,476000,1,1
86755,2013-07-09,35013,73.09000,26023958,0.006056,473150,1,1
86755,2013-07-10,35013,73.51000,25615608,0.005746,473300,1,1
86755,2013-07-11,35013,74.97000,47481361,0.019861,474000,1,1
86755,2013-07-12,35013,75.30000,31273711,0.004402,481250,1,1
86755,2013-07-15,35013,75.47000,19659903,0.002258,484400,1,1
86755,2013-07-16,35013,75.37000,31629836,-0.001325,491400,1,1
86755,2013-07-17,35013,75.56000,24617606,0.002521,493850,1,1
86755,2013-07-18,35013,75.37000,36201957,-0.002514,499300,1,1
86755,2013-07-19,35013,74.59000,37642318,-0.010349,500900,1,1
86755,2013-07-22,35013,74.81000,21048346,0.002949,496100,1,1
86755,2013-07-23,35013,74.26000,24650536,-0.007352,495700,1,1
86755,2013-07-24,35013,74.50000,24369914,0.003232,489500,1,1
86755,2013-07-25,35013,74.97000,23047724,0.006309,490950,1,1
86755,2013-07-26,35013,75.37000,20878555,0.005335,490700,1,1
86755,2013-07-29,35013,75.23000,21963472,-0.001857,492450,1,1
86755,2013-07-30,35013,75.63000,23987205,0.005317,492850,1,1
86755,2013-07-31,35013,75.77000,24924454,0.001851,488750,1,1
86755,2013-08-01,35013,76.54000,16761344,0.010162,489350,1,1
86755,2013-08-02,35013,76.97000,18066165,0.005618,489850,1,1
86755,2013-08-05,35013,77.02000,15445945,0.000650,488200,1,1
86755,2013-08-06,35013,76.56000,23631676,-0.005972,486950,1,1
86755,2013-08-07,35013,76.42000,20190290,-0.001829,483600,1,1
86755,2013-08-08,35013,76.80000,20287698,0.004973,483050,1,1
86755,2013-08-09,35013,76.49000,18486902,-0.004037,485700,1,1
86755,2013-08-12,35013,76.67000,20438694,0.002353,485700,1,1
86755,2013-08-13,35013,77.10000,23840661,0.005608,483700,1,1
86755,2013-08-14,35013,76.81000,29879734,-0.003761,482400,1,1
86755,2013-08-15,35013,75.51000,39333603,-0.016925,483500,1,1
86755,2013-08-16,35013,75.48500,23740194,-0.000331,487800,1,1
86755,2013-08-19,35013,75.35000,29308593,-0.001788,475100,1,1
86755,2013-08-20,35013,75.68000,18738078,0.004380,473550,1,1
86755,2013-08-21,35013,75.42000,30600508,-0.003436,476450,1,1
86755,2013-08-22,35013,76.16000,17206583,0.009812,476950,1,1
86755,2013-08-23,35013,76.67000,20637193,0.006696,477400,1,1
86755,2013-08-26,35013,76.71000,27415564,0.000522,475700,1,1
86755,2013-08-27,35013,75.14000,40088791,-0.020467,474000,1,1
86755,2013-08-28,35013,75.43000,20410846,0.003859,476500,1,1
86755,2013-08-29,35013,75.96000,27147625,0.007026,476550,1,1
86755,2013-08-30,35013,75.47000,26160869,-0.006451,474300,1,1
86755,2013-09-03,35013,75.90000,27124560,0.005698,472700,1,1
86755,2013-09-04,35013,76.71000,27030052,0.010672,472300,1,1
86755,2013-09-05,35013,76.84000,17759036,0.001695,470750,1,1
86755,2013-09-06,35013,76.93000,27638794,0.001171,471850,1,1
86755,2013-09-09,35013,77.83000,25050077,0.011699,471750,1,1
86755,2013-09-10,35013,78.21000,27556111,0.004882,471850,1,1
86755,2013-09-11,35013,78.06000,28039813,-0.001918,474250,1,1
86755,2013-09-12,35013,78.01000,18233292,-0.000640,478350,1,1
86755,2013-09-13,35013,78.06000,16899955,0.000641,479550,1,1
86755,2013-09-16,35013,77.85000,25771631,-0.002690,480750,1,1
86755,2013-09-17,35013,78.37000,27112669,0.006680,480250,1,1
86755,2013-09-18,35013,79.31000,31242534,0.011994,485250,1,1
86755,2013-09-19,35013,79.50000,26476082,0.002396,484900,1,1
86755,2013-09-20,35013,78.98500,26286000,-0.003488,480900,1,1
86755,2013-09-23,35013,78.83000,30271883,-0.001962,483150,1,1
86755,2013-09-24,35013,78.83000,21821763,0.000000,483900,1,1
86755,2013-09-25,35013,78.56000,24164120,-0.003425,482900,1,1
86755,2013-09-26,35013,79.17000,22380385,0.007765,484250,1,1
86755,2013-09-27,35013,79.07000,25156925,-0.001263,484000,1,1
86755,2013-09-30,35013,78.88000,28012147,-0.002403,485000,1,1
86755,2013-10-01,35013,79.68000,33109549,0.010142,485400,1,1
86755,2013-10-02,35013,79.65000,25424218,-0.000376,483150,1,1
86755,2013-10-03,35013,78.72000,42981526,-0.011676,487350,1,1
86755,2013-10-04,35013,79.40000,22761254,0.008638,480900,1,1
86755,2013-10-07,35013,78.74000,20307696,-0.008312,476600,1,1
86755,2013-10-08,35013,77.22000,43440274,-0.019304,483050,1,1
86755,2013-10-09,35013,76.98000,64295357,-0.003108,484000,1,1
86755,2013-10-10,35013,78.61000,47937018,0.021174,477500,1,1
86755,2013-10-11,35013,79.23000,25135776,0.007887,475800,1,1
86755,2013-10-14,35013,79.79000,31414891,0.007068,471700,1,1
86755,2013-10-15,35013,79.48000,38610367,-0.003885,474450,1,1
86755,2013-10-16,35013,80.38000,46488761,0.011324,482900,1,1
86755,2013-10-17,35013,80.84000,32113804,0.005723,487200,1,1
86755,2013-10-18,35013,82.15000,39567908,0.016205,492950,1,1
86755,2013-10-21,35013,82.33000,31089053,0.002191,488850,1,1
86755,2013-10-22,35013,82.45000,43885569,0.001457,493700,1,1
86755,2013-10-23,35013,81.95000,37934459,-0.006064,495300,1,1
86755,2013-10-24,35013,82.31000,23096964,0.004393,495100,1,1
86755,2013-10-25,35013,82.90000,35765654,0.007168,499400,1,1
86755,2013-10-28,35013,82.92000,28509436,0.000241,499950,1,1
86755,2013-10-29,35013,83.06000,36759923,0.001688,503650,1,1
86755,2013-10-30,35013,82.98000,33504645,-0.000963,502550,1,1
86755,2013-10-31,35013,82.79000,31176068,-0.002290,500750,1,1
86755,2013-11-01,35013,82.81000,30749913,0.000242,498600,1,1
86755,2013-11-04,35013,82.93000,16807200,0.001449,497800,1,1
86755,2013-11-05,35013,83.02000,27906067,0.001085,497800,1,1
86755,2013-11-06,35013,83.00000,25448273,-0.000241,499750,1,1
